Date Removals Additions
2013-05 12584459759 13751792867
2013-06 17861110930 25395673071
2013-07 10131520187 16310646804
2013-08 20145447220 31573606628
2013-09 9994831565 12767977220
2013-10 8602176774 12616788153
2013-11 12196851634 29805188512
2013-12 16083450623 34484760122
2014-01 38114326478 15902036068
2014-02 14946730794 27020700762
2014-03 9529474655 14714571079
2014-04 18134052555 15503663838
2014-05 13566173865 17512274871
2014-06 9119871530 20761416738
2014-07 27003980246 19701973522
2014-08 9486084445 14948655068
2014-09 11646023008 11951813113
2014-10 15931497031 43187668296
2014-11 22557219697 25227001968
2014-12 21828673863 26156106842
2015-01 15292917677 22257995965
2015-02 32370705837 12866890088
2015-03 23235446757 27930568281
2015-04 14653856167 21230921661
2015-05 33221719520 22367709254
2015-06 24376910173 20425198922
2015-07 21404450391 26215110803
2015-08 11999659163 31984111898
2015-09 26377952047 16601848680
2015-10 25560703977 26217899987
2015-11 16736306123 17275527755
2015-12 23140314312 25151712071
2016-01 13629076060 24117312116
2016-02 20043675595 19171191069
2016-03 29255737845 24080550309
2016-04 24011234001 21669549601
2016-05 18602079948 27667522290
2016-06 13338099670 16584128527
2016-07 11533889218 14869838225
2016-08 28095636693 22786444744
2016-09 10663561913 14522336668
2016-10 10459531436 16686237191
2016-11 16081512795 20645688029
2016-12 23981417120 24604890820
2017-01 18331397564 22108562382
2017-02 29690617751 29623018084
2017-03 17545276287 15758711374
2017-04 25589176790 182771553068
2017-05 13303076528 27183920280
2017-06 33431215661 34333831466
2017-07 12894238235 21355438050
2017-08 20375868774 19327844352
2017-09 19158927451 15342005634
2017-10 16753955844 16478082236
2017-11 16064940349 19235707975
2017-12 41456089848 28594165414
2018-01 60140946167 34419914609
2018-02 24241979867 34714719756
2018-03 37098356566 23827454542
2018-04 20450000753 23968055352
2018-05 19009989207 20414607413
2018-06 34202375842 33826501704
2018-07 40983466508 30417611734
2018-08 18408497970 16697885941
2018-09 17555132329 20239854939
2018-10 29291187491 32454369775
2018-11 20528792376 24356233043
2018-12 18742526019 23069138307
2019-01 31214623268 33410269502
2019-02 22317359947 26686043288
2019-03 31397715387 29179595687
2019-04 33469356872 22978429530
2019-05 16628229370 29764458057
2019-06 25120990311 23481218429
2019-07 32386793634 39553381782
2019-08 26975787742 34838526216
2019-09 18523437430 20667739195
2019-10 24692029705 27353117612
